crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Plasticon france,13 Rue du Périgord,69330,MEYZIEU,97250668700029,0.9399339556694031,PLASTICON AUBERT,13 RUE DU PERIGORD,MEYZIEU,69330,69282,1
Plasticon france,13 Rue du Périgord,69330,MEYZIEU,42153702800027,0.7404999136924744,FMO,735 AVENUE HENRI SCHNEIDER,MEYZIEU,69330,69282,2
Plasticon france,13 Rue du Périgord,69330,MEYZIEU,33045452100023,0.6981984376907349,SIRET 33045452100023,14 RUE DU PERIGORD,MEYZIEU,69330,69282,3
Plasticon france,13 Rue du Périgord,69330,MEYZIEU,90823770400014,0.664554238319397,SIRET 90823770400014,13 RUE DU MONTOUT,MEYZIEU,69330,69282,4
Plasticon france,13 Rue du Périgord,69330,MEYZIEU,98796388100014,0.664554238319397,SIRET 98796388100014,13 RUE DU MONTOUT,MEYZIEU,69330,69282,5
Plateforme de Répit du Rhône APAJH,14 RUE DE LONGCHAMP,69100,VILLEURBANNE,78457968202837,0.9990641474723816,FEDERATION APAJH,14 RUE DE LONGCHAMP,VILLEURBANNE,69100,69266,1
Plateforme de Répit du Rhône APAJH,14 RUE DE LONGCHAMP,69100,VILLEURBANNE,33402687900059,0.9938192963600159,CENTRE D ACTIVITES DE JOUR,14 RUE DE LONGCHAMP,VILLEURBANNE,69100,69266,2
Plateforme de Répit du Rhône APAJH,14 RUE DE LONGCHAMP,69100,VILLEURBANNE,81053919700014,0.9315090775489807,SYNDICAT DES TRAVAILLEURS DES ACTIVITES POSTALES DU RHONE ET DE L'AIN SOLIDAIRES UNITAIRES,128 RUE DU 4 AOUT 1789,VILLEURBANNE,69100,69266,3
Plateforme de Répit du Rhône APAJH,14 RUE DE LONGCHAMP,69100,VILLEURBANNE,77978699500018,0.8685706853866577,BTP RHONE,23 AVENUE CONDORCET,VILLEURBANNE,69100,69266,4
Plateforme de Répit du Rhône APAJH,14 RUE DE LONGCHAMP,69100,VILLEURBANNE,92817179200015,0.8651853799819946,CLUB ECONOMIQUE ET PROSPECTIVES PARTENAIRES CAMEROUN RHONE ALPES AUVERGNE (CEPCAR),33 AVENUE AUGUSTE BLANQUI,VILLEURBANNE,69100,69266,5
Pole Emploi   RILLIEUX LA PAPE,17 Avenue de l Hippodrome,69140,RILLIEUX LA PAPE,82115237800013,0.8018898963928223,SIRET 82115237800013,17 AVENUE DE L'EUROPE,RILLIEUX-LA-PAPE,69140,69286,1
Pole Emploi   RILLIEUX LA PAPE,17 Avenue de l Hippodrome,69140,RILLIEUX LA PAPE,81096793500059,0.7008544206619263,A.D.D.E.F.I.,26 RUE JACQUES PREVERT,RILLIEUX-LA-PAPE,69140,69286,2
Pole Emploi   RILLIEUX LA PAPE,17 Avenue de l Hippodrome,69140,RILLIEUX LA PAPE,79185258500011,0.5207232236862183,FEU VERT,AVENUE DE L'HIPPODROME,RILLIEUX-LA-PAPE,69140,69286,3
Pole Emploi   RILLIEUX LA PAPE,17 Avenue de l Hippodrome,69140,RILLIEUX LA PAPE,96941871400016,0.5156452059745789,SIRET 96941871400016,AVENUE DE L'HIPPODROME,RILLIEUX-LA-PAPE,69140,69286,4
Pole Emploi   RILLIEUX LA PAPE,17 Avenue de l Hippodrome,69140,RILLIEUX LA PAPE,43500749700025,0.3003827631473541,POILLOT,1691 AVENUE DE L'HIPPODROME,RILLIEUX-LA-PAPE,69140,69286,5
Pole Emploi   TASSIN,3 Avenue GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,40374661300021,0.9936674237251282,SIRET 40374661300021,3 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,69160,69244,1
